life_expectancy,gdp_per_capita,health_expenditure
71.4304552508694,4043.82776331568,4.78052753881682
76.6767167147452,13139.2109813612,6.99693851217457
62.702271566254,1850.91743054769,4.40080691492368
63.8404661926623,1121.48387311982,4.66417434703739
76.954367313865,12286.0846812169,6.16543057047232
74.6472095421659,9408.84820249156,7.95442538225403
65.7632017862259,1299.36172423082,3.66633157726896
77.8170599153732,74535.6365392629,16.0994557297062
80.1924721633692,50969.801641014,13.3618138462269
61.3833052969468,1770.15579032782,4.29732672241886
72.0115731308447,2385.08341896271,3.3087387158875
65.617,357.261152798144,23.0881691
78.769,7756.96188744253,7.53646231
76.129,4960.30334332888,3.63464284
84.016,42414.0479861228,7.52135801
64.246,3682.1131513698,2.60041046
77.483,20105.1989085164,4.43146801
75.806,13962.1894087223,10.15950489
74.7658536585366,6571.97445545099,9.96211243
83.2,65169.5191118657,9.89226055
81.2951219512195,52336.7725223758,11.22519779
74.125,7770.594223351,3.41549611
74.491,34957.1613279737,7.04287481
80.992,30470.5219276023,3.89098358
74.265,2716.48592780431,2.21544909
75.676,24387.0387293761,5.8744669
74.1033658536585,7994.64806074889,6.57784128
81.7487804878049,50605.7496677086,10.73976326
72.19,7068.21728043145,4.21643019
60.475,1266.42711031904,2.98184395
72.754,3711.32767981591,3.91757464
67.434,4219.46113742445,7.15933084
76.777,7655.59421024383,8.71644783
68.749,8328.7090572666,5.73650789
74.872,9281.33282136864,9.38739491
72.917,36632.9280952155,1.77042186
74.1609756097561,13999.1949530956,7.63849449
60.7,827.330843486661,7.41435528
62.882,302.992505263552,8.6687746
75.907,4323.31362032709,6.70243406
70.528,2325.03050040841,4.46856117
62.443,1604.87726954895,4.49439144
81.0948780487805,56256.8007264015,11.08119678
54.528,966.036468278568,4.15823555
79.176,15405.6165774073,10.0053072
78.202,12970.6056414327,5.88078785
76.508,6680.44506854481,7.59037256
66.481,1465.479642862,8.47119522
60.979,687.738587554685,3.9417696
