country_code,country,year,life_expectancy,gdp_per_capita,health_expenditure
IRL,Ireland,2022,82.509756097561,105190.685952731,6.02078247
IMN,Isle of Man,2022,80.956,88328.548125887,
ISR,Israel,2022,82.7,54949.621556429,7.12004995
ITA,Italy,2022,82.7,35653.9042103495,8.85022926
JAM,Jamaica,2022,71.481,6626.47502388538,8.65338707
JPN,Japan,2022,83.9963414634146,34065.6438962526,12.32275677
JOR,Jordan,2022,77.088,4332.25159897931,7.73623276
KAZ,Kazakhstan,2022,73.503,11255.3396437881,3.74577999
KEN,Kenya,2022,63.549,2109.56288513137,4.32241869
KIR,Kiribati,2022,66.269,2069.7671726925,10.52553844
KOR,"Korea, Rep.",2022,82.6804878048781,34822.4048404971,8.8595314
XKX,Kosovo,2022,77.623,5290.95006509706,
KWT,Kuwait,2022,80.5878048780488,39981.7691035833,4.20024538
KGZ,Kyrgyz Republic,2022,72.0487804878049,1739.72018344174,5.04874945
LAO,Lao PDR,2022,68.715,2046.40440255621,2.01825476
LVA,Latvia,2022,74.2780487804878,20221.103686109,8.1044302
LBN,Lebanon,2022,78.003,3654.35845534878,4.91255951
LSO,Lesotho,2022,56.812,1030.12582947757,12.89569187
LBR,Liberia,2022,61.934,744.617175237387,13.58819675
LBY,Libya,2022,74.462,5986.63694851258,4.74433613
LIE,Liechtenstein,2022,84.1219512195122,188055.003235348,5.64409113
LTU,Lithuania,2022,75.6439024390244,25085.784063499,7.24367952
LUX,Luxembourg,2022,82.9463414634147,123719.658915996,5.60926914
MAC,"Macao SAR, China",2022,83.0804878048781,36806.891255461,
MDG,Madagascar,2022,63.068,503.51453347296,3.14948058
MWI,Malawi,2022,66.037,604.269740360317,6.62527609
MYS,Malaysia,2022,75.444,11754.5678336248,3.90037823
MDV,Maldives,2022,80.76,11786.0191492983,7.4997015
MLI,Mali,2022,60.035,976.914116406452,3.72170115
MLT,Malta,2022,82.2975609756098,35638.8869457406,9.09105396
MHL,Marshall Islands,2022,66.725,6455.66062185762,13.60796833
